link,text,date,Likes,Comments
https://twitter.com/Chain/status/1542266284989112323#m,"Crypto Winters are an opportunity to act on that start-up idea you've been putting off to the side. Read about blockchain projects that took off during 2018's crypto crash, and how they continue to dominate the space today. 👉 https://blog.chain.com/chain-insights-crypto-winters-an-opportunity-to-build-or-hibernate-98362e076f7c #buildonchain","Jun 29, 2022 · 9:58 PM UTC",35,8
https://twitter.com/bcozisaid/status/1542261382296416256#m,Damn I need to Open a Starbucks for Whores then full of Sweet semen. Is it same for the horse? Like you make them eat pineapple and then boom. Cuz I'm sensing a potential Billion dollar start-up idea here 🤔,"Jun 29, 2022 · 9:39 PM UTC",0,1
https://twitter.com/simonbchen/status/1542259151488835584#m,Start-up idea: a web3 solution by which police and FBI investigators can crowd-source input (with algorithmic and popular rank-order of plausibility) on active murder (or other) criminal investigations given variably-anonymized data,"Jun 29, 2022 · 9:30 PM UTC",5,3
https://twitter.com/Sispotfer/status/1542229812789526528#m,maybe it's not such a bad idea to have servers on-premise after all... specially if you're a start-up,"Jun 29, 2022 · 7:33 PM UTC",0,0
https://twitter.com/benhouston3d/status/1542213602823872512#m,"That is a completely credible start-up idea.  But instead of search, you just state what you want and it creates its for you on demand.  Your own personal AI 3D contractor on demand.","Jun 29, 2022 · 6:29 PM UTC",3,2
https://twitter.com/GrumblesLaw/status/1542198439437631489#m,"Last day to vote! I’m so excited to be a part of the #TCSW22 Session Selector! Vote for my session idea, Morning Mentor, if you’d like to learn about IP and start-up legal matters! Link in comments #iplaw #twincities #stpaulmn #minneapolis #entrepreneurship #startupcompany","Jun 29, 2022 · 5:28 PM UTC",1,1
https://twitter.com/GPA90862817/status/1542194099817791488#m,"If you have a great idea for a start-up business, it can be overwhelming with knowing where to start. Our Prosperity Plan can help set you on the right track on the road to success https://bit.ly/3m7keIy.","Jun 29, 2022 · 5:11 PM UTC",0,0
https://twitter.com/AbFutures/status/1542177494840664064#m,FREE Small Business Start-up Guides Simplify your start-up “to do’s” with these helpful guides. Join us and our partners at @BusinessLinkAB  as we walk you through all the steps involved to turn your business idea into reality. https://albertacf.com/small-business-guides,"Jun 29, 2022 · 4:05 PM UTC",4,0
https://twitter.com/hwbhatti/status/1542172352548671488#m,Selecting between early stage start-up offers consider the following:  - Founder quality  - Idea 💡  - Prior experience of the founders  - Funding and runway  - Goals for next 18 months  - Why team is motivated to work there  - Long term vision,"Jun 29, 2022 · 3:45 PM UTC",13,1
https://twitter.com/KinyanjuiE/status/1542168740170702848#m,We need to solve this start-up capital Quagmire. Too many entrepreneurs stuck and yet have legitimate orders or ideas 💡,"Jun 29, 2022 · 3:30 PM UTC",1,0
https://twitter.com/ReadingBakery/status/1542160969564028930#m,"Producing high quality machines is something we pride ourselves in at RBS. From your product idea to plant start-up, we work side-by-side with our customers to deliver top of the line solutions. Successful snacks start here.","Jun 29, 2022 · 3:00 PM UTC",4,1
https://twitter.com/quasagroup/status/1542158471449157633#m,Top 6 Business Ideas for A Small Start-Up In 2022 https://quasa.io/media/top-6-business-ideas-for-a-small-start-up-in-2022 1. Handyman Business 2. Freelance Writer 3. Career Consultant 4. Photographer 5. Makeup Artist 6. E-commerce Business ... #QUASA #QUA $QUA,"Jun 29, 2022 · 2:50 PM UTC",2,0
https://twitter.com/BeyondGravity_S/status/1542157189380464643#m,Do you have a great idea 💡 – but not yet a product? Check out our start-up program “Launchpad” 🚀. beyondgravity.com/incubator.   #startup #incubator #space #spacetechnology #innovation #valuechain #people #seedfunding #Launchpad,"Jun 29, 2022 · 2:45 PM UTC",2,0
https://twitter.com/markch3ng/status/1542153249469661185#m,This is a pretty good list of what VCs look for in a startup.  The  idea that “founder / market fit“ is more important than “product / market fit“ is particularly apt.   Investing in a start-up is nearly always a bet on the ability of the founders to find product / market fit,"Jun 29, 2022 · 2:29 PM UTC",1,0
https://twitter.com/BoostInfo/status/1542145911094140937#m,What can you do for your customer?  In this Boost workshop - learn how to recognise the most risky parts of your start-up idea and create a #startup test using a Test Card template.  Hosted by: @WinningPitch as part of Boost’s Flying Start Programme. https://bit.ly/3HJK8fC,"Jun 29, 2022 · 2:00 PM UTC",1,0
https://twitter.com/Joy997FM/status/1542142085729583104#m,"Start-up Reality Challenge: My roommate and I challenged ourselves to come up with business ideas in our final semester on campus.  - Christian Boakye-Yiadom, CEO - Ceqa Foods and Beverages Ltd #JBMasterclass","Jun 29, 2022 · 1:44 PM UTC",25,0
https://twitter.com/QBICqa/status/1542141686331183107#m,"If you have a unique and innovative business idea, but you are not sure where to start, our Lean Start-up program is your best chance to start!  Register now through the link.   https://bit.ly/3zYAgg7 #qbic #entrepreneurship #Qatar #LSP16","Jun 29, 2022 · 1:43 PM UTC",2,0
