link,text,date,Likes,Comments
https://twitter.com/SmartClue/status/1608975795699216387#m,They are running their business like tabloid evening newspaper. I have no idea what kind of people watch it.,"Dec 30, 2022 · 11:58 PM UTC",0,0
https://twitter.com/2020eScribbles/status/1608975762425528320#m,"Epstein was a very close friend of trump. In fact when trump had his drug parties at the Plaza Hotel while he was the owner, that’s where Epstein got the idea for his “business.” The parties were with teens, underage girls. Trump had his model business.","Dec 30, 2022 · 11:58 PM UTC",0,3
https://twitter.com/NotSureOfficial/status/1608975072118833153#m,"So... wait, are you pro business dumping whatever into the American people's water supply? Do you have any idea how sexy you would look if you wanted to protect Americans and good game lands from Liberal Big Government Corporations?","Dec 30, 2022 · 11:55 PM UTC",0,0
https://twitter.com/EricHer79679249/status/1608974579673989120#m,Knowledge + business ideas + your leadership,"Dec 30, 2022 · 11:53 PM UTC",0,0
https://twitter.com/francisfooqh/status/1608974186168594433#m,"There is never a better time to take action. Is there a idea that has been sitting inside your mind for the past few years waiting for the proverbial perfect moment to #launch? Just do it -- be it a new business, career or hobby. Be extremely action-oriented! #justdoit #HNY2023","Dec 30, 2022 · 11:51 PM UTC",1,0
https://twitter.com/UMFL2002/status/1608973861688848384#m,"Zuckerberg. Miles stole the business from the actual person who had the idea, and also was a twin, just like Zuckerberg stole Facebook from the Winklevoss twins","Dec 30, 2022 · 11:50 PM UTC",0,0
https://twitter.com/NewfMom29/status/1608973626732318720#m,So you are saying Trump had not idea what was going on in his own businesses.   So is he a criminal  or really incompetent business leader?,"Dec 30, 2022 · 11:49 PM UTC",2,1
https://twitter.com/nocodemba/status/1608972458236973058#m,💡 No-code business idea:  Build a helpdesk for businesses helpdesk/knowledgebase for businesses,"Dec 30, 2022 · 11:45 PM UTC",11,1
https://twitter.com/nwspiceguy/status/1608972367673569280#m,"If they really sold these, I would buy one, now that gives me a new business idea 😀","Dec 30, 2022 · 11:44 PM UTC",0,0
https://twitter.com/BackToDraw/status/1608971652788023297#m,"The business culture is part of it, the story telling culture is a big part, too.  Many Americans have this insane idea that any story told with drawings, rather than photographs or live people, is for children.  The visual arts are dying because of it.","Dec 30, 2022 · 11:41 PM UTC",2,1
https://twitter.com/vanDerSpike/status/1608970125541089280#m,"Not everybody is going to believe in you and some will go to the extend of sabotaging you BUT always remember if God didn’t believe in you, you wouldn’t have had the idea of starting that business in the first place","Dec 30, 2022 · 11:35 PM UTC",1,0
https://twitter.com/jakeartzt/status/1608969791532077056#m,Business Idea: Four Guys Burger & Fries 🍔 🍟 (5 Guys but cheaper).,"Dec 30, 2022 · 11:34 PM UTC",0,1
https://twitter.com/ArroundNet/status/1608969346239406086#m,12 Ideas Of Business Glass Front Door https://www.stevewilliamskitchens.co.uk/business-glass-front-door/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost #interiordesign #decor,"Dec 30, 2022 · 11:32 PM UTC",0,0
https://twitter.com/SpillerJ/status/1608969112570712065#m,"Oh, I have a pretty good idea. Wasn’t questioning the attorney part.  They are not to be relied on for business terms.","Dec 30, 2022 · 11:31 PM UTC",1,1
https://twitter.com/TaylaMane/status/1608968961751941120#m,It is beyond me how someone as smart as Dave could have this bad of a business idea.  Without a doubt they will go out of biz and all those watches will be over 50% off in less than a year.,"Dec 30, 2022 · 11:31 PM UTC",0,0
