link,text,date,Likes,Comments
https://twitter.com/SS_Coleslaw/status/1575634566370295809#m,"I'm looking for investors in my startup ""Elephant Experience™"". The idea is this: we will surgically implant you in an elephant's uterus so that you can experience the warmth and love of the womb with your brain fully developed. We also feed the elephant gatorade and cocaine","Sep 29, 2022 · 11:52 PM UTC",3,0
https://twitter.com/neenerbot/status/1575632869736607744#m,I smell a startup idea,"Sep 29, 2022 · 11:45 PM UTC",1,0
https://twitter.com/eperlste/status/1575632216851259392#m,"Love seeing professors become founders of biotech companies.  A discovery gets its wings..  To all my academic PI peeps: are you sitting on an idea or a result that could form the basis of a startup?   If yes, what’s holding you back?","Sep 29, 2022 · 11:42 PM UTC",19,1
https://twitter.com/sidehustlebot/status/1575631204761890817#m,Startup idea:  start a law enforcement C2B service connecting gay gay people with widowed kids. Any suggestions?    #entrepreneurship #entrepreneurslife #GrindLife,"Sep 29, 2022 · 11:38 PM UTC",0,0
https://twitter.com/yoheinakajima/status/1575624133546635264#m,"Here's a quick prototype prompt (theme: design startups).  Could be powerful if you took the results, fed them into Crunchbase to see if it exists, and had it keep running for new ideas.  Could have this running for every industry.","Sep 29, 2022 · 11:10 PM UTC",0,2
https://twitter.com/aeinjm/status/1575623325673394176#m,i have no idea about business or whatever please let me out how am i supposed to know shit about startups,"Sep 29, 2022 · 11:07 PM UTC",1,1
https://twitter.com/triciaanneberry/status/1575620630124167168#m,Residents in a situation of ‘natural disaster’ need a home page for their area to readily access help and resources #home #planet #startupidea,"Sep 29, 2022 · 10:56 PM UTC",0,1
https://twitter.com/HottestStartups/status/1575620451295821824#m,"Startup idea: The fact is that no single, unproblematic definition of ’culture’ is to be found here.","Sep 29, 2022 · 10:56 PM UTC",1,0
https://twitter.com/gabor/status/1575620398871236615#m,Day 85 in startup land: Feeling super grateful to have this time to explore ideas — and go on an occasional weekday afternoon hike off Grizzly Peak Blvd.,"Sep 29, 2022 · 10:55 PM UTC",11,4
https://twitter.com/sidehustlebot/status/1575616302873313280#m,"What about this,  start a security & investigations C2C business connecting worse people with well-organised gays. What would you change?    #entrepreneurship #nichesidehustle #startupidea","Sep 29, 2022 · 10:39 PM UTC",0,0
https://twitter.com/entrepreneurjim/status/1575613900892119053#m,"Hear from Donald Thompson, 3x Inc 5000 CEO, Forbes Next 1000, Fast Company World Changing Ideas, Business NC Power List, Founder of The Diversity Movement and Author of Underestimated: A CEO’s Unlikely Path to Success on School For Startups Radio.    https://bit.ly/3dWk6uX","Sep 29, 2022 · 10:30 PM UTC",1,0
https://twitter.com/calgaryeconomic/status/1575613232353615901#m,"Bright minds with big ideas solve global challenges in Calgary. Business accelerator @PlugandPlayTC announced 50 new startups for its second cohort, with 42 per cent of participants from Alberta. Read more ➤  ow.ly/9SQ550KXzev #NewEconomy #OCIF","Sep 29, 2022 · 10:27 PM UTC",10,0
https://twitter.com/kunle_jinadu/status/1575612900827222017#m,"Startup idea. A solution that replaces interviews with solid, proven recommendations from past work.  Only thing you test for is culture fit. No point trying to know how great a salesman is from an interview!","Sep 29, 2022 · 10:26 PM UTC",1,0
https://twitter.com/BadSoftwareIdea/status/1575606761230409735#m,Startup idea: A startup that helps you find your car in a parking lot,"Sep 29, 2022 · 10:01 PM UTC",0,0
https://twitter.com/UWBuerk/status/1575606595538624518#m,"Team Tuesdays are back! Click the link below or scan the QR code to RSVP to next week's Team Tuesday session at 12:00 pm in Deloitte Commons. This is a great chance to discuss ideas for innovations and startups with your classmates, roommates, and friends! |  ...","Sep 29, 2022 · 10:01 PM UTC",0,0
https://twitter.com/3D_Innovations/status/1575605111916830733#m,We see your vision.    #3DInnovations #ConceptToProduct #ProductDevelopment #ProductDesign #PrototypeHawaii #3DDesign #3DPrinting #ProductLaunching #ProductManufacturing #Inventors #Invention #InventHelp #InventionHelp #Idea #Patents #IP #R&D #StartUps #GoToMarket,"Sep 29, 2022 · 9:55 PM UTC",3,0
https://twitter.com/ThomasCarle6/status/1575603164107218968#m,"Ideas are easy. Implementation is hard. – Guy Kawasaki ""quote ""entrepreneur ""startup  | presented by Thomas Carle, Dein Sicherheitsexperte.","Sep 29, 2022 · 9:47 PM UTC",0,0
https://twitter.com/EqualHedge/status/1575602521539694593#m,Web3 startup idea. Bring back Yik Yak but in web3,"Sep 29, 2022 · 9:44 PM UTC",0,0
https://twitter.com/JeffreyWhitlock/status/1575600176210714625#m,"Thought for brand new startups: your market (customer<>problem) is the ground.   Your idea is the seed.  If the ground is barren, even the best seeds will not grow.","Sep 29, 2022 · 9:35 PM UTC",1,0
https://twitter.com/abhisheksengupt/status/1575598852832661505#m,[Podcast] 5 Platforms For Business Knowledge  Listen to the full podcast https://buff.ly/3KZ3sat  Business contents are widespread in internet. This is a great way to gain knowledge and ideas  #startup #entrepreneurship #business #abhisheksenguptaaudioblogs #abhisheksengupta,"Sep 29, 2022 · 9:30 PM UTC",0,0
https://twitter.com/VenturePill/status/1575598399943888896#m,"Stick around as we dive into a discussion on lessons Charlie learned from previous investments, the craziest startup ideas he's heard, and what he looks for in founders.","Sep 29, 2022 · 9:28 PM UTC",2,1
https://twitter.com/AmazifyCo/status/1575596912497299456#m,"ycombinator: Today @Whatnot (W20) is where collectors can buy, sell, go live, and geek out with others across a wide variety of products.  But, like every startup, it began as just an idea.  We sat down with Whatnot's @GrantLaFontaine to discuss their fi…","Sep 29, 2022 · 9:22 PM UTC",0,0
https://twitter.com/LuzanoB/status/1575595121575309313#m,“I had no idea he was even on it until the day he died.” Cerebral treated a 17-year-old and prescribed him an antidepressant without parental consent. The telehealth startup said the treatment was appropriate and the case was an outlier. https://www.wsj.com/articles/cerebral-treated-a-17-year-old-without-his-parents-consent-they-found-out-the-day-he-died-11664416497?st=ptw23in4vee796z via @WSJ,"Sep 29, 2022 · 9:15 PM UTC",0,0
https://twitter.com/FoodVentureProg/status/1575593083311337472#m,Are you a #smallbiz or #startup? @SBA_NH can help you turn your brilliant idea into a #success story! #sbdc #entrepreneur,"Sep 29, 2022 · 9:07 PM UTC",0,0
https://twitter.com/miladydart/status/1575590764326752256#m,Finally found my next middle east startup idea,"Sep 29, 2022 · 8:58 PM UTC",1,0
https://twitter.com/clueae/status/1575590117485383680#m,"Today Whatnot (W20) is a lively platform where collectors can buy, sell, go live, and geek out with other like-minded people across a wide variety of product categories. But, like every startup, the founders of Whatnot began with only an idea. YC’s Anu H… https://www.ycombinator.com/blog/first-five-launches-with-whatnot/","Sep 29, 2022 · 8:55 PM UTC",0,0
https://twitter.com/ycombinator/status/1575588448030773248#m,"Today @Whatnot (W20) is where collectors can buy, sell, go live, and geek out with others across a wide variety of products.  But, like every startup, it began as just an idea.  We sat down with Whatnot's @GrantLaFontaine to discuss their first 5 launches: https://invidious.fdn.fr/OKD0IAcwMig","Sep 29, 2022 · 8:48 PM UTC",23,1
https://twitter.com/UMassM2D2/status/1575586723630747649#m,"5 #HealthSecurity #Startups will pitch their solutions to our expert panel at this year’s #BarracudaBowl, co-hosted by @Mintz_Law.  Hear breakthrough ideas from: @InnotechMed @VersatopeRx @GExInc #bTECH Partner Therapeutics  Details and tickets here: https://buff.ly/3Rre5of","Sep 29, 2022 · 8:42 PM UTC",0,0
