link,text,date,Likes,Comments
https://twitter.com/DarryDickson/status/1674568351878729731#m,"Waaaaa loook this is absolutely nonsense, is like these guys are here just to do business and get to rid of whoever doesn't support this stupid idea of them","Jun 29, 2023 · 11:59 PM UTC",0,0
https://twitter.com/greengrandma5/status/1674568136497025025#m,Business idea for you!,"Jun 29, 2023 · 11:58 PM UTC",0,0
https://twitter.com/LondonScot2000/status/1674568040761917440#m,“Has no business talking…”. Spoken like a true trans activist.  Have you any idea how arrogant that sounds?  JK Rowling is a smart person who incidentally has done more good than 99.9999% of her critics.,"Jun 29, 2023 · 11:58 PM UTC",1,0
https://twitter.com/danieleripoll/status/1674567726696902656#m,"Regarding the mining death spiral, what assumptions are you making? And what conclusions are you reaching? Let’s start there.   Is the idea that miners will go out of business and that BTC will be left without much hashrate to secure it? If not, what is the summary of the argument?","Jun 29, 2023 · 11:57 PM UTC",0,1
https://twitter.com/jamielauder_/status/1674567242275598338#m,"Creators!  It’s not easy to decide where and how to share your work.   With Web3, the game has changed- IYKYK, but if you don’t…  Here are 3 key takeaways from @cryptohun3y and @Mike_Stelzner on Web3 Business Pod  Plus, ideas for creating & sharing in Web3, NFTs and DAOs🧵👇🏼:","Jun 29, 2023 · 11:55 PM UTC",2,1
https://twitter.com/SuperRobotOTC/status/1674567214177964035#m,aren't they the ones who told us shutting down all business would be a good idea too?,"Jun 29, 2023 · 11:55 PM UTC",2,1
https://twitter.com/DirigoDuke/status/1674566799612862464#m,"As I said weeks ago, congratulations in re-inventing long-term disability insurance, which at least doesn’t threaten to bankrupt business and spread ruin across the local economy. Not that you care. The MPA will have you right there shilling with the next bright idea to “help.”","Jun 29, 2023 · 11:53 PM UTC",0,2
https://twitter.com/jensmtg/status/1674566765534216194#m,"This has a great product idea in it. I have another friend who presented with the exact same position just the other day.  A service to hand-hold users through their exploration, ideation and adaption of AI for different uses, both business and personal. Combined with expert curation of available solutions.","Jun 29, 2023 · 11:53 PM UTC",4,2
https://twitter.com/7iu7iu7iu/status/1674566589767905281#m,"If referring to East Asians and Indians, the fixation is more likely cultural. Just look at the global stats of home countries. Also this idea of degrees as lifelines flies in the face of so many successful Asian entrepreneurs, small business owners, real estate moguls etc","Jun 29, 2023 · 11:52 PM UTC",1,0
https://twitter.com/DrNabadNolol/status/1674566401053401090#m,A business idea : you make rich assholes pay $10K to spend a month in an desert island with barely enough food to eat once a day.   They will come out with 40% less weight & will kiss your feets 🤣,"Jun 29, 2023 · 11:51 PM UTC",2,0
https://twitter.com/lyncher23/status/1674565838500929536#m,Maganda yan surrounded cya ng mas old sa kanya kaysa mas bata sa kanya dahil mas lalo cya mag matured at madami cya matutunan sa kanila like business or creative ideas. So happy for Enrique at naging manager nya c sir Ranvel .,"Jun 29, 2023 · 11:49 PM UTC",12,0
